webtestname,weburl
"tst-takeflitewcfsvcj","https://tf-takefliteservice-scup01.tflite.com/TakeFliteWCFServiceJ/TakeFliteServices.svc?wsdl"
"tst-takeflitewcfsvci","https://tf-takefliteservice-scup01.tflite.com/TakeFliteWCFServiceI/TakeFliteServices.svc?wsdl"
"tst-fareenginewcfsvch","https://tf-fareengine-scup01.tflite.com/FareEngineWCFServiceH/FareServices.svc?wsdl"
"tst-companyrulessvc","https://tf-companyrulesservice-scup01.tflite.com/CompanyRulesService/CompanyRules.svc?wsdl"
"tst-takeflitepublicsvct","https://tf-publicservice-scup01.tflite.com/TakeflitePublicServiceT/TakeflitePublicServices.asmx?wsdl"
"tst-mobilesvct","https://tf-mobileservice-scup01.tflite.com/MobileServiceT/MobileServices.asmx?wsdl"
"tst-public","https://tf-bookingportal-scup01.tflite.com/Public/SA/Booking/Search"
"tst-takeflitepublicwfp","https://tf-legacybookingportal-scup01.tflite.com/takeflitepublicwfp/PgCreateOpenBooking.aspx"
"tst-takeflitepublicnln","https://tf-legacybookingportal-scup01.tflite.com/takeflitepublicnln/"
"tst-takeflitepublic","https://tf-legacybookingportal-scup01.tflite.com/takeflitepublic/PgAgentLogin.aspx"
"tst-takeflitepublicrac","https://tf-legacybookingportal-scup01.tflite.com/takeflitepublicrac/PgAgentLogin.aspx"
"tst-takeflitepublickma","https://tf-legacybookingportal-scup01.tflite.com/takeflitepublickma/PgAgentLogin.aspx"
"tst-extportalcompanyrules","https://tf-externalportal-scup01.tflite.com/ExternalPortal/CompanyRules/"
"tst-extportaliapimgr","https://tf-externalportal-scup01.tflite.com/ExternalPortal/IapiManager/"
"tst-takefliteextsvca","https://tf-externalservice-scup01.tflite.com/TakefliteExternalServiceA/TakefliteExternalService.svc"
"tst-aetmsvc","https://tf-lepservice-scup01.tflite.com/Aetm/LEPservice.svc"
"tst-aetmprofile","https://tf-aetmprofile-scup01.tflite.com/AetmProfile/sync.profile"
"tst-takefliteextadminsvca","https://admin10125apps1.tflite.com/TakefliteExternalServiceA/TakefliteExternalService.svc"
